retailer_name,retailer_website,external_product_id,external_variant_id,product_name,variant_name,brand,category,description,image,slug,external_url,affiliate_url,external_gtin,price,shipping_known,shipping_cost,in_stock,is_for_sale,size,size_unit,flavour,product_format,pack_count,source_updated_at
Fit House,https://fithouse.uk,9624501813488,47987919782128,"Soma Turmeric, Black Pepper & Ginger 90 Capsules",Default,Soma,Health Supplements,,https://cdn.shopify.com/s/files/1/0661/8202/1360/files/Untitleddesign_07b7a21d-b2f4-4bee-8274-5981123d1caa.jpg?v=1757075262,soma-turmeric-black-pepper-ginger-90-capsules,https://fithouse.uk/products/soma-turmeric-black-pepper-ginger-90-capsules?variant=47987919782128,https://fithouse.uk/products/soma-turmeric-black-pepper-ginger-90-capsules?variant=47987919782128,,19.99,true,3.99,true,true,,,,,,2026-07-26T14:09:40+01:00
Fit House,https://fithouse.uk,9623385932016,47984711958768,Soma NAC 300mg 100 Tablets,Default,Soma,Amino Acids,,https://cdn.shopify.com/s/files/1/0661/8202/1360/files/Untitleddesign_4_3cfdaa80-75d9-4ad6-8020-93f84c9f628f.jpg?v=1757000081,soma-nac-300mg-100-tablets,https://fithouse.uk/products/nac-100-tablets?variant=47984711958768,https://fithouse.uk/products/nac-100-tablets?variant=47984711958768,,11.99,true,3.99,true,true,,,,,,2026-07-26T14:09:40+01:00
Fit House,https://fithouse.uk,9347614343408,47199795413232,Now Foods 5-HTP Double Strength 200mg 60 Capsules,Default,Now Foods,Amino Acids,,https://cdn.shopify.com/s/files/1/0661/8202/1360/files/5htp200.png?v=1739022397,now-foods-5-htp-double-strength-200mg-60-capsules,https://fithouse.uk/products/now-foods-5-htp-double-strength-200-mg-60-veg-capsules?variant=47199795413232,https://fithouse.uk/products/now-foods-5-htp-double-strength-200-mg-60-veg-capsules?variant=47199795413232,,16.99,true,3.99,true,true,,,,,,2026-07-26T14:09:40+01:00
Fit House,https://fithouse.uk,9176724177136,46992608657648,7Nutrition Coenzyme Q10 200mg 60 Capsules,Default,7Nutrition,Health Supplements,,https://cdn.shopify.com/s/files/1/0661/8202/1360/files/7q10.jpg?v=1737206687,7nutrition-coenzyme-q10-200mg-60-capsules,https://fithouse.uk/products/7nutrition-coenzyme-q10-60-vege-caps?variant=46992608657648,https://fithouse.uk/products/7nutrition-coenzyme-q10-60-vege-caps?variant=46992608657648,,16.99,true,3.99,true,true,,,,,,2026-07-26T14:09:40+01:00
Fit House,https://fithouse.uk,9176635834608,46992502718704,7Nutrition Vitamin C Pure Powder 250g,Default,7Nutrition,Vitamins,,https://cdn.shopify.com/s/files/1/0661/8202/1360/files/vitaminc.jpg?v=1737203430,7nutrition-vitamin-c-pure-powder-250g,https://fithouse.uk/products/7nutrition-vitamin-c-pure-250g?variant=46992502718704,https://fithouse.uk/products/7nutrition-vitamin-c-pure-250g?variant=46992502718704,,8.99,true,3.99,true,true,,,,,,2026-07-26T14:09:40+01:00
Fit House,https://fithouse.uk,9174925803760,49768841904368,Animal Flex Powder Cherry Berry 369g,Default,Animal,Health Supplements,,https://cdn.shopify.com/s/files/1/0661/8202/1360/files/Untitleddesign_1_3a9eeb23-71d6-45e0-aca4-047412caa2ac.jpg?v=1737038137,animal-flex-powder-cherry-berry-369g,https://fithouse.uk/products/animal-flex-powder-cherry-berry-369g?variant=49768841904368,https://fithouse.uk/products/animal-flex-powder-cherry-berry-369g?variant=49768841904368,,37.99,true,3.99,true,true,,,,,,2026-07-26T14:09:40+01:00
Fit House,https://fithouse.uk,9168643719408,46969317228784,7Nutrition Vitamin D3 2000 IU 120 Softgels,Default,7Nutrition,Vitamins,,https://cdn.shopify.com/s/files/1/0661/8202/1360/files/Untitled_design_ed7cbf83-84dd-4ce7-bfdd-1fac63de4478.jpg?v=1736593646,7nutrition-vitamin-d3-2000-iu-120-softgels,https://fithouse.uk/products/7-nutrition-vitamin-d3-2000-120-gel-caps-copy?variant=46969317228784,https://fithouse.uk/products/7-nutrition-vitamin-d3-2000-120-gel-caps-copy?variant=46969317228784,,5.99,true,3.99,true,true,,,,,,2026-07-26T14:09:40+01:00
Fit House,https://fithouse.uk,9097931817200,46780983836912,Osavi Liposomal Iron 20mg 120 Capsules,Default,Osavi,Vitamins,,https://cdn.shopify.com/s/files/1/0661/8202/1360/files/Untitleddesign.png?v=1731326707,osavi-liposomal-iron-20mg-120-capsules,https://fithouse.uk/products/osavi-liposomal-iron-20-mg-120-vege-caps?variant=46780983836912,https://fithouse.uk/products/osavi-liposomal-iron-20-mg-120-vege-caps?variant=46780983836912,,19.99,true,3.99,true,true,,,,,,2026-07-26T14:09:40+01:00
Fit House,https://fithouse.uk,8147560530160,43582806327536,7Nutrition Sodium Butyrate 580mg 100 Capsules,Default,7Nutrition,Health Supplements,,https://cdn.shopify.com/s/files/1/0661/8202/1360/products/Untitleddesign_6_8dd6870c-ef6a-4ba3-a5f7-6df635556301.jpg?v=1666367553,7nutrition-sodium-butyrate-580mg-100-capsules,https://fithouse.uk/products/7-nutrition-sodium-butyrate-100-vege-caps?variant=43582806327536,https://fithouse.uk/products/7-nutrition-sodium-butyrate-100-vege-caps?variant=43582806327536,,9.99,true,3.99,true,true,,,,,,2026-07-26T14:09:40+01:00
Fit House,https://fithouse.uk,9060343709936,46673002004720,Nordic Naturals Nordic Flora Probiotic Comfort 15 Billion CFU 30 Capsules,Default,Nordic Naturals,Health Supplements,,https://cdn.shopify.com/s/files/1/0661/8202/1360/files/Untitleddesign_6_2b94b0e9-701e-46e6-8211-7eaf0967df13.jpg?v=1728660020,nordic-naturals-nordic-flora-probiotic-comfort-15-billion-cfu-30-capsules,https://fithouse.uk/products/nordic-naturals-nordic-flora-probiotic-comfort-15-billion-cfu-30-capsules?variant=46673002004720,https://fithouse.uk/products/nordic-naturals-nordic-flora-probiotic-comfort-15-billion-cfu-30-capsules?variant=46673002004720,,34.99,true,3.99,true,true,,,,,,2026-07-26T14:09:40+01:00
Fit House,https://fithouse.uk,9041428283632,46620421816560,7Nutrition Beta-Alanine Powder 250g Unflavoured,Default,7Nutrition,Amino Acids,,https://cdn.shopify.com/s/files/1/0661/8202/1360/files/Untitleddesign_30.png?v=1779206902,7nutrition-beta-alanine-powder-250g-unflavoured,https://fithouse.uk/products/7-nutrition-beta-alanine-250g-unflavoured?variant=46620421816560,https://fithouse.uk/products/7-nutrition-beta-alanine-250g-unflavoured?variant=46620421816560,,11.99,true,3.99,true,true,,,,,,2026-07-26T14:09:40+01:00
Fit House,https://fithouse.uk,8333086884080,44260687118576,Olimp ZMA + B6 120 Capsules,Default,Olimp,Health Supplements,,https://cdn.shopify.com/s/files/1/0661/8202/1360/files/Untitleddesign-2023-10-04T123023.632.jpg?v=1696419290,olimp-zma-b6-120-capsules,https://fithouse.uk/products/olimp-zma-b6-120-caps?variant=44260687118576,https://fithouse.uk/products/olimp-zma-b6-120-caps?variant=44260687118576,,25.99,true,3.99,true,true,,,,,,2026-07-26T14:09:40+01:00
Fit House,https://fithouse.uk,9168824172784,46969725714672,7Nutrition Berberine Stack 500mg 90 Capsules,Default,7Nutrition,Health Supplements,,https://cdn.shopify.com/s/files/1/0661/8202/1360/files/Untitleddesign_1_fbe60033-12fd-4b95-8e1e-67e16f2fe9ec.jpg?v=1736599728,7nutrition-berberine-stack-500mg-90-capsules,https://fithouse.uk/products/7-nutrition-berberine-stack-90-vege-caps?variant=46969725714672,https://fithouse.uk/products/7-nutrition-berberine-stack-90-vege-caps?variant=46969725714672,,11.99,true,3.99,true,true,,,,,,2026-07-26T14:09:40+01:00
Fit House,https://fithouse.uk,8273427333360,44092616311024,Swanson Full Spectrum Passion Flower 500mg 60 Capsules,Default,Swanson,Health Supplements,,https://cdn.shopify.com/s/files/1/0661/8202/1360/files/5_NUTRITIONCREA-TEN-LEGENDARYSERIESCreatineisusuallyoneofthefirstsupplementsanathletewilltry.Infact_it_ssopopularit_sacornerstoneproductinthesupplementarsenalofmanyadvance_2.jpg?v=1684851960,swanson-full-spectrum-passion-flower-500mg-60-capsules,https://fithouse.uk/products/swanson-full-spectrum-passion-flower-60-vege-caps?variant=44092616311024,https://fithouse.uk/products/swanson-full-spectrum-passion-flower-60-vege-caps?variant=44092616311024,,6.99,true,3.99,true,true,,,,,,2026-07-26T14:09:40+01:00
Fit House,https://fithouse.uk,9673951019248,48121139658992,GYM HIGH Shred Mode 60 Capsules,Default,GYM HIGH,Health Supplements,,https://cdn.shopify.com/s/files/1/0661/8202/1360/files/Untitleddesign_8_e782cdca-9a53-4364-8f30-a6884df911b6.jpg?v=1759355143,gym-high-shred-mode-60-capsules,https://fithouse.uk/products/gym-high-shred-mode-60-capsules?variant=48121139658992,https://fithouse.uk/products/gym-high-shred-mode-60-capsules?variant=48121139658992,,39.99,true,3.99,true,true,,,,,,2026-07-26T14:09:40+01:00
