retailer_name,retailer_website,product_id,product_variant_id,external_product_id,external_variant_id,external_sku,external_options,product_name,variant_name,brand,category,description,image,slug,external_url,affiliate_url,external_gtin,price,shipping_known,shipping_cost,total_price,in_stock,is_for_sale,size,size_unit,flavour,product_format,pack_count,source_updated_at
Fit House,https://fithouse.uk,,,9623375118576,47984670376176,,{},Soma Methyl B-Complex – 30 Capsules,Default,Soma,Vitamins,,https://cdn.shopify.com/s/files/1/0661/8202/1360/files/Untitleddesign_f540dc8f-9a5b-4fca-9144-2018f7f13f13.jpg?v=1756997287,soma-methyl-b-complex-30-capsules,https://fithouse.uk/products/soma-methyl-b-complex-30-capsules?variant=47984670376176,https://fithouse.uk/products/soma-methyl-b-complex-30-capsules?variant=47984670376176,,9.99,true,3.99,13.98,false,true,,,,,,2026-07-15T13:20:04+01:00
Fit House,https://fithouse.uk,,,9623376527600,47984677028080,,{},Soma Magnesium Glycinate – 90 Capsules,Default,Soma,Health Supplements,,https://cdn.shopify.com/s/files/1/0661/8202/1360/files/Untitleddesign_1_3f371a60-e29d-42e6-9206-3b104b92414e.jpg?v=1756997890,soma-magnesium-glycinate-90-capsules,https://fithouse.uk/products/magnesium-glycinate-90-capsules?variant=47984677028080,https://fithouse.uk/products/magnesium-glycinate-90-capsules?variant=47984677028080,,11.99,true,3.99,15.98,false,true,,,,,,2026-07-15T13:20:04+01:00
Fit House,https://fithouse.uk,,,9673589522672,48119163355376,,"{""flavour"":""Blueberry""}",GYM HIGH Cream Of Rice 2.1kg,Blueberry / 2100g,GYM HIGH,Health Supplements,,https://cdn.shopify.com/s/files/1/0661/8202/1360/files/Untitleddesign_1_591ecfcc-4ff3-4373-aaac-4f99cbf13fdd.jpg?v=1759324754,gym-high-cream-of-rice-2-1kg,https://fithouse.uk/products/gym-high-cream-of-rice-2kg?variant=48119163355376,https://fithouse.uk/products/gym-high-cream-of-rice-2kg?variant=48119163355376,,19.99,true,3.99,23.98,true,true,2100,g,Blueberry,powder,1,2026-07-15T13:20:04+01:00
Fit House,https://fithouse.uk,,,9673589522672,48119163388144,,"{""flavour"":""Maple Syroup""}",GYM HIGH Cream Of Rice 2.1kg,Maple Syrup / 2100g,GYM HIGH,Health Supplements,,https://cdn.shopify.com/s/files/1/0661/8202/1360/files/Untitleddesign_1_591ecfcc-4ff3-4373-aaac-4f99cbf13fdd.jpg?v=1759324754,gym-high-cream-of-rice-2-1kg,https://fithouse.uk/products/gym-high-cream-of-rice-2kg?variant=48119163388144,https://fithouse.uk/products/gym-high-cream-of-rice-2kg?variant=48119163388144,,19.99,true,3.99,23.98,true,true,2100,g,Maple Syrup,powder,1,2026-07-15T13:20:04+01:00
Fit House,https://fithouse.uk,403,1695,9673598861552,48119187570928,,"{""flavour"":""Strawberries & Cream""}",GYM HIGH Mass Gainer 2100g,Strawberries & Cream / 2.1kg,GYM HIGH,Mass Gainer,,https://cdn.shopify.com/s/files/1/0661/8202/1360/files/Untitleddesign_2_b82a47f8-aba8-4060-98f5-b363a0da2d2c.jpg?v=1759325620,gym-high-mass-gainer-2100g,https://fithouse.uk/products/gym-high-mass-gainer-2-1-kg?variant=48119187570928,https://fithouse.uk/products/gym-high-mass-gainer-2-1-kg?variant=48119187570928,,29.99,true,3.99,33.98,true,true,2100,g,Strawberries & Cream,powder,1,2026-07-15T13:20:04+01:00
Fit House,https://fithouse.uk,403,1696,9673598861552,48119187603696,,"{""flavour"":""Vanilla Ice Cream""}",GYM HIGH Mass Gainer 2100g,Vanilla Ice Cream / 2.1kg,GYM HIGH,Mass Gainer,,https://cdn.shopify.com/s/files/1/0661/8202/1360/files/Untitleddesign_2_b82a47f8-aba8-4060-98f5-b363a0da2d2c.jpg?v=1759325620,gym-high-mass-gainer-2100g,https://fithouse.uk/products/gym-high-mass-gainer-2-1-kg?variant=48119187603696,https://fithouse.uk/products/gym-high-mass-gainer-2-1-kg?variant=48119187603696,,29.99,true,3.99,33.98,true,true,2100,g,Vanilla Ice Cream,powder,1,2026-07-15T13:20:04+01:00
Fit House,https://fithouse.uk,780,,9673666920688,48119537729776,,"{""flavour"":""Natural""}",OstroVit Creatine Monohydrate 1000g,Natural / 1000g,OstroVit,Creatine,,https://cdn.shopify.com/s/files/1/0661/8202/1360/files/Untitleddesign_18.png?v=1779196460,ostrovit-creatine-monohydrate-1000g,https://fithouse.uk/products/ostrovit-creatine-monohydrate-500-g?variant=48119537729776,https://fithouse.uk/products/ostrovit-creatine-monohydrate-500-g?variant=48119537729776,,21.99,true,3.99,25.98,false,true,1000,g,Natural,powder,1,2026-07-15T13:20:04+01:00
Fit House,https://fithouse.uk,,,9673952952560,48121193038064,,{},Osavi Chromium 250 Capsules,Default,Osavi,Vitamins,,https://cdn.shopify.com/s/files/1/0661/8202/1360/files/Untitleddesign_9_9a7d480e-e25a-49e8-b480-0d945c212c06.jpg?v=1759355765,osavi-chromium-250-capsules,https://fithouse.uk/products/osavi-chromium-250-vegan-caps?variant=48121193038064,https://fithouse.uk/products/osavi-chromium-250-vegan-caps?variant=48121193038064,,11.99,true,3.99,15.98,true,true,,,,,,2026-07-15T13:20:04+01:00
Fit House,https://fithouse.uk,165,1758,9674420912368,48124051685616,,"{""Flavor"":""White Chocolate Macadamia""}",Lenny & Larry's Complete Vegan Cookie  113g,White Chocolate Macadamia / 113g,Lenny & Larry,Protein Bars,,https://cdn.shopify.com/s/files/1/0661/8202/1360/files/Untitleddesign_1_c73db7a7-67c8-4edd-b96f-9920fae60132.jpg?v=1759416057,lenny--larrys-complete-vegan-cookie--113g,https://fithouse.uk/products/lenny-larrys-the-complete-cookie-113-g?variant=48124051685616,https://fithouse.uk/products/lenny-larrys-the-complete-cookie-113-g?variant=48124051685616,,2.50,true,3.99,6.49,false,true,113,g,White Chocolate Macadamia,snack,1,2026-07-15T13:20:04+01:00
Fit House,https://fithouse.uk,165,1054,9674420912368,48124051849456,,"{""Flavor"":""Apple Pie""}",Lenny & Larry's Complete Vegan Cookie  113g,Apple Pie / 113g,Lenny & Larry,Protein Bars,,https://cdn.shopify.com/s/files/1/0661/8202/1360/files/Untitleddesign_1_c73db7a7-67c8-4edd-b96f-9920fae60132.jpg?v=1759416057,lenny--larrys-complete-vegan-cookie--113g,https://fithouse.uk/products/lenny-larrys-the-complete-cookie-113-g?variant=48124051849456,https://fithouse.uk/products/lenny-larrys-the-complete-cookie-113-g?variant=48124051849456,,2.50,true,3.99,6.49,false,true,113,g,Apple Pie,snack,1,2026-07-15T13:20:04+01:00
Fit House,https://fithouse.uk,224,,9674436903152,48124151038192,,"{""Flavor"":""Banana""}",Barebells High Protein Milkshake 330ml,Banana / 330ml,Barebells,Protein Bars,,https://cdn.shopify.com/s/files/1/0661/8202/1360/files/Untitleddesign_2_0cc4c4f7-d08f-465a-b641-54e20bf67fa2.jpg?v=1759419238,barebells-high-protein-milkshake-330ml,https://fithouse.uk/products/barebells-milkshake-330-ml?variant=48124151038192,https://fithouse.uk/products/barebells-milkshake-330-ml?variant=48124151038192,,2.50,true,3.99,6.49,false,true,330,ml,Banana,liquid,1,2026-07-15T13:20:04+01:00
Fit House,https://fithouse.uk,224,1679,9674436903152,48124151070960,,"{""Flavor"":""Cookies & Cream""}",Barebells High Protein Milkshake 330ml,Cookies & Cream / 330ml,Barebells,Protein Bars,,https://cdn.shopify.com/s/files/1/0661/8202/1360/files/Untitleddesign_2_0cc4c4f7-d08f-465a-b641-54e20bf67fa2.jpg?v=1759419238,barebells-high-protein-milkshake-330ml,https://fithouse.uk/products/barebells-milkshake-330-ml?variant=48124151070960,https://fithouse.uk/products/barebells-milkshake-330-ml?variant=48124151070960,,2.50,true,3.99,6.49,false,true,330,ml,Cookies & Cream,liquid,1,2026-07-15T13:20:04+01:00
Fit House,https://fithouse.uk,367,1834,9676465242352,48129499693296,,"{""flavour"":""Tropical Punch""}",GYM HIGH The Stacker 240g,Tropical Punch / 240g,GYM HIGH,Health Supplements,,https://cdn.shopify.com/s/files/1/0661/8202/1360/files/Untitleddesign_4_eb5e1836-7dc7-4a06-828d-46008c909ccb.jpg?v=1759577689,gym-high-the-stacker-240g,https://fithouse.uk/products/gym-high-stacker-30-servings?variant=48129499693296,https://fithouse.uk/products/gym-high-stacker-30-servings?variant=48129499693296,,34.99,true,3.99,38.98,true,true,240,g,Tropical Punch,powder,1,2026-07-15T13:20:04+01:00
Fit House,https://fithouse.uk,367,1044,9676465242352,48129499726064,,"{""flavour"":""Electric Blue""}",GYM HIGH The Stacker 240g,Electric Blue (Blue Raspberry & Lime) / 240g,GYM HIGH,Health Supplements,,https://cdn.shopify.com/s/files/1/0661/8202/1360/files/Untitleddesign_4_eb5e1836-7dc7-4a06-828d-46008c909ccb.jpg?v=1759577689,gym-high-the-stacker-240g,https://fithouse.uk/products/gym-high-stacker-30-servings?variant=48129499726064,https://fithouse.uk/products/gym-high-stacker-30-servings?variant=48129499726064,,34.99,true,3.99,38.98,true,true,240,g,Electric Blue (Blue Raspberry & Lime),powder,1,2026-07-15T13:20:04+01:00
Fit House,https://fithouse.uk,771,,9678084636912,48135716798704,,"{""Flavor"":""Cookies & Cream""}",BioTech USA 100% Pure Whey 454g,Cookies & Cream / 454g,BioTech USA,Whey Protein,,https://cdn.shopify.com/s/files/1/0661/8202/1360/files/Untitleddesign_6c536ee6-641d-49c5-9070-d8c1e2de93c6.jpg?v=1759766231,biotech-usa-100-pure-whey-454g,https://fithouse.uk/products/biotech-usa-100-pure-whey-454g?variant=48135716798704,https://fithouse.uk/products/biotech-usa-100-pure-whey-454g?variant=48135716798704,,15.99,true,3.99,19.98,true,true,454,g,Cookies & Cream,powder,1,2026-07-15T13:20:04+01:00
Fit House,https://fithouse.uk,,,9678103445744,48135761395952,,{},Doctor's Best L-Theanine AlphaWave 200mg 60 Capsules,Default,Doctor's Best,Health Supplements,,https://cdn.shopify.com/s/files/1/0661/8202/1360/files/photo.jpg?v=1759769004,doctor-s-best-l-theanine-alphawave-200mg-60-capsules,https://fithouse.uk/products/doctors-best-l-theanine-alphawave-200mg-60-vege-caps?variant=48135761395952,https://fithouse.uk/products/doctors-best-l-theanine-alphawave-200mg-60-vege-caps?variant=48135761395952,,21.99,true,3.99,25.98,false,true,,,,,,2026-07-15T13:20:04+01:00
