retailer_name,retailer_website,external_product_id,external_variant_id,product_name,variant_name,brand,category,description,image,slug,external_url,affiliate_url,external_gtin,price,shipping_known,shipping_cost,in_stock,is_for_sale,size,size_unit,flavour,product_format,pack_count,source_updated_at,external_sku,external_options,product_id,product_variant_id
6 Pack Supplements,https://6pack-supplements.co.uk,1546,1546,ActivLab Isoactive Electrolyte 630g,Lemon / 630g,ActivLab,Electrolytes,,https://6pack-supplements.co.uk/wp-content/uploads/2018/04/45566.jpg,activlab-isoactive-electrolyte-630g,https://6pack-supplements.co.uk/product/activlab-isoactive-isotonic-electrolyte-630g-orange-flavor/,https://6pack-supplements.co.uk/product/activlab-isoactive-isotonic-electrolyte-630g-orange-flavor/,,9.99,true,4.99,true,true,630,g,Lemon,powder,1,2026-07-28T19:02:13.719Z,5907368846804,{},1093,2373
6 Pack Supplements,https://6pack-supplements.co.uk,3915,3915,7Nutrition Selenium 120 Vege Capsules,Unflavoured / 120 capsules,7Nutrition,Vitamins,,https://6pack-supplements.co.uk/wp-content/uploads/2020/12/7nutrition-selenium-6pack-supplements.jpg,7nutrition-selenium-120-vege-capsules,https://6pack-supplements.co.uk/product/7nutrition-selenium-120-vege-caps/,https://6pack-supplements.co.uk/product/7nutrition-selenium-120-vege-caps/,,14.00,true,4.99,true,true,,,Unflavoured,capsule,1,2026-07-28T19:02:13.786Z,5902811807197,{},1094,2375
6 Pack Supplements,https://6pack-supplements.co.uk,4135,4135,Good Guru Pearl Shilajit 90 Capsules,Unflavoured / 90 capsules,Good Guru,Health Supplements,,https://6pack-supplements.co.uk/wp-content/uploads/2020/12/good-guru-shilajt-capsules-libido-testosteron-focus-6pack-supplements.jpg,good-guru-pearl-shilajit-90-capsules,https://6pack-supplements.co.uk/product/good-guru-pearl-shilajit-90-caps/,https://6pack-supplements.co.uk/product/good-guru-pearl-shilajit-90-caps/,,17.99,true,4.99,true,true,,,Unflavoured,capsule,1,2026-07-28T19:02:13.850Z,854822007200,{},1095,2377
6 Pack Supplements,https://6pack-supplements.co.uk,4145,4145,Good Guru Gold Shilajit Resin 30g,Unflavoured / 30g,Good Guru,Health Supplements,,https://6pack-supplements.co.uk/wp-content/uploads/2020/12/good-guru-shilajt-resin-30g-ashwaganda-libido-testosteron-focus-6pack-supplements.jpg,good-guru-gold-shilajit-resin-30g,https://6pack-supplements.co.uk/product/good-guru-gold-shilajit-resin-30g/,https://6pack-supplements.co.uk/product/good-guru-gold-shilajit-resin-30g/,,26.99,true,4.99,true,true,30,g,Unflavoured,resin,1,2026-07-28T19:02:13.911Z,854822007521,{},1096,2379
6 Pack Supplements,https://6pack-supplements.co.uk,4150,4150,Good Guru Pearl Shilajit Resin 30g,Unflavoured / 30g,Good Guru,Health Supplements,,https://6pack-supplements.co.uk/wp-content/uploads/2020/12/good-guru-shilajt-resin-30g-libido-testosteron-focus-6pack-supplements.jpg,good-guru-pearl-shilajit-resin-30g,https://6pack-supplements.co.uk/product/good-guru-pearl-shilajit-resin-30g/,https://6pack-supplements.co.uk/product/good-guru-pearl-shilajit-resin-30g/,,22.49,true,4.99,true,true,30,g,Unflavoured,resin,1,2026-07-28T19:02:13.984Z,854822007309,{},1097,2381
6 Pack Supplements,https://6pack-supplements.co.uk,4493,4493,Olimp Nutrition Caffeine Kick 60 Capsules,Unflavoured / 60 capsules,Olimp Nutrition,Energy Supplements,,https://6pack-supplements.co.uk/wp-content/uploads/2021/01/Olimp-Nutrition-Caffeine-Kick-60-caps.jpg,olimp-nutrition-caffeine-kick-60-capsules,https://6pack-supplements.co.uk/product/activlab-creatine-capsules-300caps/,https://6pack-supplements.co.uk/product/activlab-creatine-capsules-300caps/,,8.99,true,4.99,true,true,,,Unflavoured,capsule,1,2026-07-28T19:02:14.039Z,901330056390,{},1098,2383
6 Pack Supplements,https://6pack-supplements.co.uk,4588,4590,BioTech USA Protein Pancake 1kg,Vanilla / 1kg,BioTech USA,Protein Powder,,https://6pack-supplements.co.uk/wp-content/uploads/2021/01/biotech-usa-pancakes-breakfast-diet-protein-6pack-supplements.jpg,biotech-usa-protein-pancake-1kg,https://6pack-supplements.co.uk/product/biotechusa-protein-pancake-1000-grams/,https://6pack-supplements.co.uk/product/biotechusa-protein-pancake-1000-grams/,,19.99,true,4.99,true,true,1000,g,Vanilla,powder,1,2026-07-28T19:02:14.107Z,,"{""Retailer Flavour"":""vanilla""}",1099,2385
6 Pack Supplements,https://6pack-supplements.co.uk,4603,4611,Applied Nutrition Critical Oats Protein Porridge 600g,Cookies & Cream / 600g,Applied Nutrition,Protein Powder,,https://6pack-supplements.co.uk/wp-content/uploads/2021/01/porridge-oats-protein-6pack-supplements.jpg,applied-nutrition-critical-oats-protein-porridge-600g,https://6pack-supplements.co.uk/product/applied-nutrition-critical-oats-protein-porridge-600g/,https://6pack-supplements.co.uk/product/applied-nutrition-critical-oats-protein-porridge-600g/,,14.00,true,4.99,true,true,600,g,Cookies & Cream,powder,1,2026-07-28T19:02:14.166Z,,{},1100,2387
6 Pack Supplements,https://6pack-supplements.co.uk,4698,4698,BioTech USA Caffeine + Taurine 60 Capsules,Unflavoured / 60 capsules,BioTech USA,Energy Supplements,,https://6pack-supplements.co.uk/wp-content/uploads/2021/01/caffeine-taurine-biotechusa-6pack-supplements.jpg,biotech-usa-caffeine-taurine-60-capsules,https://6pack-supplements.co.uk/product/biotechusa-caffeine-taurine-60-caps/,https://6pack-supplements.co.uk/product/biotechusa-caffeine-taurine-60-caps/,,9.00,true,4.99,true,true,,,Unflavoured,capsule,1,2026-07-28T19:02:14.266Z,5999076234196,{},1101,2389
6 Pack Supplements,https://6pack-supplements.co.uk,6332,6332,Trec Nutrition Multipack Sport Day/Night Formula,Standard / 1 pack,Trec Nutrition,Vitamins,,https://6pack-supplements.co.uk/wp-content/uploads/2021/04/multipack-sport-day-_-night-formula-trec-nutrition-6pack-supplements.jpg,trec-nutrition-multipack-sport-day-night-formula,https://6pack-supplements.co.uk/product/multipack-sport-day-night-formula-trec-nutrition/,https://6pack-supplements.co.uk/product/multipack-sport-day-night-formula-trec-nutrition/,,13.99,true,4.99,true,true,,,Standard,pack,1,2026-07-28T19:02:14.356Z,5901828342868,{},1102,2391
