retailer_name,retailer_website,external_product_id,external_variant_id,product_name,variant_name,brand,category,description,image,slug,external_url,affiliate_url,external_gtin,price,shipping_known,shipping_cost,in_stock,is_for_sale,size,size_unit,flavour,product_format,pack_count,source_updated_at,external_sku,external_options,product_id,product_variant_id
6 Pack Supplements,https://6pack-supplements.co.uk,1497,1497,Waist Slimming Sweat Belt,One Size / 1 piece,Unknown,Accessories,,https://6pack-supplements.co.uk/wp-content/uploads/2018/04/123.jpg,waist-slimming-sweat-belt,https://6pack-supplements.co.uk/product/waist-slimming-sweat-belt/,https://6pack-supplements.co.uk/product/waist-slimming-sweat-belt/,1000001407,14.99,true,4.99,true,true,,,One Size,accessory,1,2026-07-28T13:13:58.966Z,1000001407,"{""Size"":""One Size""}",1084,2349
6 Pack Supplements,https://6pack-supplements.co.uk,2832,2832,Applied Nutrition Lifestyle Water Bottle 1L,Default,Applied Nutrition,Accessories,,https://6pack-supplements.co.uk/wp-content/uploads/2020/10/Applied_Nutrition_Lifestyle_Water_Bottle.jpg,applied-nutrition-lifestyle-water-bottle-1l,https://6pack-supplements.co.uk/product/applied-nutrition-lifestyle-water-bottle-1-ltr/,https://6pack-supplements.co.uk/product/applied-nutrition-lifestyle-water-bottle-1-ltr/,,6.99,true,4.99,true,true,,,,accessory,1,2026-07-28T13:14:00.005Z,0634158938573,{},83,37
6 Pack Supplements,https://6pack-supplements.co.uk,66976,66976,Applied Nutrition Protein Shaker 600ml,Standard / 600ml,Applied Nutrition,Accessories,,https://6pack-supplements.co.uk/wp-content/uploads/2026/04/122.jpg,applied-nutrition-protein-shaker-600ml,https://6pack-supplements.co.uk/product/applied-nutrition-protein-shaker-600ml/,https://6pack-supplements.co.uk/product/applied-nutrition-protein-shaker-600ml/,,4.99,true,4.99,true,true,600,ml,Standard,accessory,1,2026-07-28T13:14:00.843Z,0634158938504,"{""Style"":""Standard""}",1085,2351
6 Pack Supplements,https://6pack-supplements.co.uk,66979,66979,Applied Nutrition Protein Shaker 400ml,Standard / 400ml,Applied Nutrition,Accessories,,https://6pack-supplements.co.uk/wp-content/uploads/2026/04/120.jpg,applied-nutrition-protein-shaker-400ml,https://6pack-supplements.co.uk/product/applied-nutrition-protein-shaker-400ml/,https://6pack-supplements.co.uk/product/applied-nutrition-protein-shaker-400ml/,,4.99,true,4.99,true,true,400,ml,Standard,accessory,1,2026-07-28T13:14:01.634Z,5056555809882,"{""Style"":""Standard""}",1086,2353
6 Pack Supplements,https://6pack-supplements.co.uk,67009,67009,Applied Nutrition ABE Protein Shaker 700ml,ABE Black / 700ml,Applied Nutrition,Accessories,,https://6pack-supplements.co.uk/wp-content/uploads/2026/04/121.jpg,applied-nutrition-abe-protein-shaker-700ml,https://6pack-supplements.co.uk/product/applied-nutrition-abe-700ml-protein-shaker/,https://6pack-supplements.co.uk/product/applied-nutrition-abe-700ml-protein-shaker/,,4.99,true,4.99,true,true,700,ml,ABE Black,accessory,1,2026-07-28T13:14:02.373Z,0634158938504-634158938505,"{""Style"":""ABE Black""}",1087,2355
6 Pack Supplements,https://6pack-supplements.co.uk,68428,68428,Applied Nutrition ABE Water Jug 2.5L,ABE Black / 2500ml,Applied Nutrition,Accessories,,https://6pack-supplements.co.uk/wp-content/uploads/2026/04/dsssia.jpg,applied-nutrition-abe-water-jug-2-5l,https://6pack-supplements.co.uk/product/applied-nutrition-abe-2-5-litre-water-jug/,https://6pack-supplements.co.uk/product/applied-nutrition-abe-2-5-litre-water-jug/,,8.99,true,4.99,true,true,2500,ml,ABE Black,accessory,1,2026-07-28T13:14:03.192Z,5056555202036,"{""Style"":""ABE Black""}",1088,2357
6 Pack Supplements,https://6pack-supplements.co.uk,68437,68437,Applied Nutrition Stainless Steel Shaker 750ml,Blue / 750ml,Applied Nutrition,Accessories,,https://6pack-supplements.co.uk/wp-content/uploads/2026/04/123.jpg,applied-nutrition-stainless-steel-shaker-750ml,https://6pack-supplements.co.uk/product/applied-nutrition-750ml-stainless-steel-shaker/,https://6pack-supplements.co.uk/product/applied-nutrition-750ml-stainless-steel-shaker/,,7.99,true,4.99,true,true,750,ml,Blue,accessory,1,2026-07-28T13:14:03.980Z,0658556043318,"{""Style"":""Blue""}",1089,2359
6 Pack Supplements,https://6pack-supplements.co.uk,3093,3097,Power System No Compromise PS-2700 Gloves,M / 1 pair,Power System,Accessories,,https://6pack-supplements.co.uk/wp-content/uploads/2020/10/power-system-no-compromise-ps-2700-6pack-supplements.jpg,power-system-no-compromise-ps-2700-gloves,https://6pack-supplements.co.uk/product/power-system-fitness-gloves/,https://6pack-supplements.co.uk/product/power-system-fitness-gloves/,,14.99,true,4.99,true,true,,,M,accessory,1,2026-07-28T13:14:04.776Z,,"{""Size"":""M""}",1090,2361
6 Pack Supplements,https://6pack-supplements.co.uk,2771,29943,BioTech USA Wave Shaker 600ml,Pink / 600ml,BioTech USA,Accessories,,https://6pack-supplements.co.uk/wp-content/uploads/2020/08/biotech_usa_shakers_6pack_supplements.jpg,biotech-usa-wave-shaker-600ml,https://6pack-supplements.co.uk/product/applied-nutrition-protein-shaker-700ml/,https://6pack-supplements.co.uk/product/applied-nutrition-protein-shaker-700ml/,,5.99,true,4.99,false,true,600,ml,Pink,accessory,1,2026-07-28T13:14:05.561Z,,"{""Colour"":""Pink""}",82,2362
6 Pack Supplements,https://6pack-supplements.co.uk,2771,29946,BioTech USA Wave Shaker 600ml,Transparent / 600ml,BioTech USA,Accessories,,https://6pack-supplements.co.uk/wp-content/uploads/2020/08/biotech_usa_shakers_6pack_supplements.jpg,biotech-usa-wave-shaker-600ml,https://6pack-supplements.co.uk/product/applied-nutrition-protein-shaker-700ml/,https://6pack-supplements.co.uk/product/applied-nutrition-protein-shaker-700ml/,,5.99,true,4.99,true,true,600,ml,Transparent,accessory,1,2026-07-28T13:14:05.561Z,,"{""Colour"":""Transparent""}",82,2363
