retailer_name,retailer_website,external_product_id,external_variant_id,product_name,variant_name,brand,category,description,image,slug,external_url,affiliate_url,external_gtin,price,shipping_known,shipping_cost,in_stock,is_for_sale,size,size_unit,flavour,product_format,pack_count,source_updated_at,external_sku,external_options,product_id,product_variant_id
6 Pack Supplements,https://6pack-supplements.co.uk,2765,28828,7Nutrition Bodybuilder Mass Gainer 3kg,Strawberry Banana / 3kg,7Nutrition,Mass Gainer,,https://6pack-supplements.co.uk/wp-content/uploads/2020/08/bodybuilder-gainer-mass-protein-6pack-supplements.jpg,7nutrition-bodybuilder-mass-gainer-3kg,https://6pack-supplements.co.uk/product/7nutrition-bodybuilder/,https://6pack-supplements.co.uk/product/7nutrition-bodybuilder/,,37.99,true,4.99,true,true,3000,g,Strawberry Banana,powder,1,2026-07-28T08:44:35.938Z,,"{""Flavour"":""Strawberry Banana"",""Retailer Flavour"":""Strawberry banana""}",1011,2092
6 Pack Supplements,https://6pack-supplements.co.uk,2765,28831,7Nutrition Bodybuilder Mass Gainer 3kg,Vanilla Ice Cream / 3kg,7Nutrition,Mass Gainer,,https://6pack-supplements.co.uk/wp-content/uploads/2020/08/bodybuilder-gainer-mass-protein-6pack-supplements.jpg,7nutrition-bodybuilder-mass-gainer-3kg,https://6pack-supplements.co.uk/product/7nutrition-bodybuilder/,https://6pack-supplements.co.uk/product/7nutrition-bodybuilder/,,37.99,true,4.99,false,true,3000,g,Vanilla Ice Cream,powder,1,2026-07-28T08:44:35.938Z,,"{""Flavour"":""Vanilla Ice Cream"",""Retailer Flavour"":""Vanilla ice cream""}",1011,2093
6 Pack Supplements,https://6pack-supplements.co.uk,2765,28834,7Nutrition Bodybuilder Mass Gainer 3kg,Triple Chocolate / 3kg,7Nutrition,Mass Gainer,,https://6pack-supplements.co.uk/wp-content/uploads/2020/08/bodybuilder-gainer-mass-protein-6pack-supplements.jpg,7nutrition-bodybuilder-mass-gainer-3kg,https://6pack-supplements.co.uk/product/7nutrition-bodybuilder/,https://6pack-supplements.co.uk/product/7nutrition-bodybuilder/,,37.99,true,4.99,false,true,3000,g,Triple Chocolate,powder,1,2026-07-28T08:44:35.938Z,,"{""Flavour"":""Triple Chocolate"",""Retailer Flavour"":""Triple chocolate""}",1011,2094
6 Pack Supplements,https://6pack-supplements.co.uk,2765,28837,7Nutrition Bodybuilder Mass Gainer 3kg,White Chocolate / 3kg,7Nutrition,Mass Gainer,,https://6pack-supplements.co.uk/wp-content/uploads/2020/08/bodybuilder-gainer-mass-protein-6pack-supplements.jpg,7nutrition-bodybuilder-mass-gainer-3kg,https://6pack-supplements.co.uk/product/7nutrition-bodybuilder/,https://6pack-supplements.co.uk/product/7nutrition-bodybuilder/,,37.99,true,4.99,true,true,3000,g,White Chocolate,powder,1,2026-07-28T08:44:35.938Z,,"{""Flavour"":""White Chocolate"",""Retailer Flavour"":""White chocolate""}",1011,2095
6 Pack Supplements,https://6pack-supplements.co.uk,2765,28840,7Nutrition Bodybuilder Mass Gainer 3kg,Cookies & Cream / 3kg,7Nutrition,Mass Gainer,,https://6pack-supplements.co.uk/wp-content/uploads/2020/08/bodybuilder-gainer-mass-protein-6pack-supplements.jpg,7nutrition-bodybuilder-mass-gainer-3kg,https://6pack-supplements.co.uk/product/7nutrition-bodybuilder/,https://6pack-supplements.co.uk/product/7nutrition-bodybuilder/,,37.99,true,4.99,true,true,3000,g,Cookies & Cream,powder,1,2026-07-28T08:44:35.938Z,,"{""Flavour"":""Cookies & Cream"",""Retailer Flavour"":""Cookies cream""}",1011,2096
6 Pack Supplements,https://6pack-supplements.co.uk,2765,28843,7Nutrition Bodybuilder Mass Gainer 3kg,Chocolate Caramel Hazelnut / 3kg,7Nutrition,Mass Gainer,,https://6pack-supplements.co.uk/wp-content/uploads/2020/08/bodybuilder-gainer-mass-protein-6pack-supplements.jpg,7nutrition-bodybuilder-mass-gainer-3kg,https://6pack-supplements.co.uk/product/7nutrition-bodybuilder/,https://6pack-supplements.co.uk/product/7nutrition-bodybuilder/,,37.99,true,4.99,true,true,3000,g,Chocolate Caramel Hazelnut,powder,1,2026-07-28T08:44:35.938Z,,"{""Flavour"":""Chocolate Caramel Hazelnut"",""Retailer Flavour"":""Chocolate caramel hazelnut""}",1011,2097
6 Pack Supplements,https://6pack-supplements.co.uk,8330,8331,7Nutrition Carbo Gold 1000g,Green Apple / 1kg,7Nutrition,Health Supplements,,https://6pack-supplements.co.uk/wp-content/uploads/2022/03/carbo_7nutrition_6pack_supplements_reading.jpg,7nutrition-carbo-gold-1000g,https://6pack-supplements.co.uk/product/7nutrition-carbo-gold-1000-g/,https://6pack-supplements.co.uk/product/7nutrition-carbo-gold-1000-g/,,9.99,true,4.99,true,true,1000,g,Green Apple,powder,1,2026-07-28T08:44:36.688Z,,"{""Flavour"":""Green Apple""}",1012,2099
6 Pack Supplements,https://6pack-supplements.co.uk,8330,8332,7Nutrition Carbo Gold 1000g,Orange / 1kg,7Nutrition,Health Supplements,,https://6pack-supplements.co.uk/wp-content/uploads/2022/03/carbo_7nutrition_6pack_supplements_reading.jpg,7nutrition-carbo-gold-1000g,https://6pack-supplements.co.uk/product/7nutrition-carbo-gold-1000-g/,https://6pack-supplements.co.uk/product/7nutrition-carbo-gold-1000-g/,,9.99,true,4.99,true,true,1000,g,Orange,powder,1,2026-07-28T08:44:36.688Z,,"{""Flavour"":""Orange""}",1012,2100
6 Pack Supplements,https://6pack-supplements.co.uk,8330,8333,7Nutrition Carbo Gold 1000g,Lemon / 1kg,7Nutrition,Health Supplements,,https://6pack-supplements.co.uk/wp-content/uploads/2022/03/carbo_7nutrition_6pack_supplements_reading.jpg,7nutrition-carbo-gold-1000g,https://6pack-supplements.co.uk/product/7nutrition-carbo-gold-1000-g/,https://6pack-supplements.co.uk/product/7nutrition-carbo-gold-1000-g/,,9.99,true,4.99,true,true,1000,g,Lemon,powder,1,2026-07-28T08:44:36.688Z,,"{""Flavour"":""Lemon""}",1012,2101
6 Pack Supplements,https://6pack-supplements.co.uk,8330,8335,7Nutrition Carbo Gold 1000g,Tropical Fruit / 1kg,7Nutrition,Health Supplements,,https://6pack-supplements.co.uk/wp-content/uploads/2022/03/carbo_7nutrition_6pack_supplements_reading.jpg,7nutrition-carbo-gold-1000g,https://6pack-supplements.co.uk/product/7nutrition-carbo-gold-1000-g/,https://6pack-supplements.co.uk/product/7nutrition-carbo-gold-1000-g/,,9.99,true,4.99,true,true,1000,g,Tropical Fruit,powder,1,2026-07-28T08:44:36.688Z,,"{""Flavour"":""Tropical Fruit"",""Retailer Flavour"":""Tropical fruit""}",1012,2102
6 Pack Supplements,https://6pack-supplements.co.uk,8330,8336,7Nutrition Carbo Gold 1000g,Grapefruit / 1kg,7Nutrition,Health Supplements,,https://6pack-supplements.co.uk/wp-content/uploads/2022/03/carbo_7nutrition_6pack_supplements_reading.jpg,7nutrition-carbo-gold-1000g,https://6pack-supplements.co.uk/product/7nutrition-carbo-gold-1000-g/,https://6pack-supplements.co.uk/product/7nutrition-carbo-gold-1000-g/,,9.99,true,4.99,true,true,1000,g,Grapefruit,powder,1,2026-07-28T08:44:36.688Z,,"{""Flavour"":""Grapefruit""}",1012,2103
6 Pack Supplements,https://6pack-supplements.co.uk,3958,3959,7Nutrition BCAA Master 500g,Raspberry / 500g,7Nutrition,Amino Acids,,https://6pack-supplements.co.uk/wp-content/uploads/2020/12/bcaa-master-7nutrition-6pack-supplements.jpg,7nutrition-bcaa-master-500g,https://6pack-supplements.co.uk/product/7nutrition-whey-isolate-90-500g-2/,https://6pack-supplements.co.uk/product/7nutrition-whey-isolate-90-500g-2/,,21.99,true,4.99,true,true,500,g,Raspberry,powder,1,2026-07-28T08:44:37.420Z,,"{""Flavour"":""Raspberry"",""Retailer Flavour"":""RASPBERRY""}",1013,2105
