retailer_name,retailer_website,product_id,product_variant_id,external_product_id,external_variant_id,external_sku,product_name,variant_name,brand,category,slug,external_url,affiliate_url,external_gtin,external_options,price,shipping_known,shipping_cost,in_stock,is_for_sale,image,size,size_unit,flavour,pack_count,product_format
"eBay UK","https://www.ebay.co.uk","178","1762","137546859794","v1|137546859794|435678842297","","Applied Nutrition ISO-XP 1.8kg","Cafe Latte / 1.8kg","Applied Nutrition","Whey Protein","ebay-137546859794-435678842297","https://www.ebay.co.uk/itm/137546859794?var=435678842297","https://www.ebay.co.uk/itm/137546859794?var=435678842297&mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","5056555204627","{""Size"":""1800g"",""Flavour"":""Cafe Latte""}","84.81","true","0","true","true","https://www.powerbody.co.uk/media/catalog/product/ebay/auction_image_2026-07-07_6a4d09cac73c2.jpg","1800g","g","Cafe Latte","1","powder"
"eBay UK","https://www.ebay.co.uk","19","767","256978504929","v1|256978504929|557601482644","","Dorian Yates Blood & Guts Pre Workout 380g","Mango / 380g","Dorian Yates","Pre Workout","ebay-256978504929-557601482644","https://www.ebay.co.uk/itm/256978504929?var=557601482644","https://www.ebay.co.uk/itm/256978504929?var=557601482644&mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050&amdata=enc%3AAQALAAAAoGfYFPkwiKCW4ZNSs2u11xAue2w2mYjtMev6GCWo5tPyLn4n1uplYUnWoBzlMHKYNwfhHTTzyZ4VkBzmVbgOv8gL5ahpdTGC%2F4rSyMdwLsSH6Y5fN6nAx7uIQBxzAX7h%2FraZYLixeYk%2Fl5AnnNMCRUbaf%2BSJwkf6lqF38BM84tP62zA53LutO3a%2FFoKXfFPL64fuGeDX9LdaZXO91S%2BzyCo%3D","5060763890480","{""Size"":""380g"",""Flavour"":""Mango""}","21.95","true","3.95","true","true","https://cdn.shopify.com/s/files/1/0737/5572/1994/files/dy-blood-guts-mango.jpg?v=1755874321","380g","g","Mango","1","powder"
"eBay UK","https://www.ebay.co.uk","220","1057","404774853352","v1|404774853352|674791941888","","HR Labs Basic 510g","Strawberry And Fuzzy Fruits / 510g","HR Labs","Health Supplements","ebay-404774853352-674791941888","https://www.ebay.co.uk/itm/404774853352?var=674791941888","https://www.ebay.co.uk/itm/404774853352?var=674791941888&mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","5060662330162","{""Size"":""510g"",""Flavour"":""Strawberry And Fuzzy Fruits""}","36.99","true","0","true","true","https://i.ebayimg.com/images/g/yTsAAeSwbHlpa12j/s-l1600.jpg","510g","g","Strawberry And Fuzzy Fruits","1","powder"
"eBay UK","https://www.ebay.co.uk","471","462","406431647826","v1|406431647826|676750282312","","Critical Cookie White Chocolate & Raspberry","Default","Applied Nutrition","Protein Bars","ebay-406431647826-676750282312","https://www.ebay.co.uk/itm/406431647826?var=676750282312","https://www.ebay.co.uk/itm/406431647826?var=676750282312&mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","5056555201039","{}","2.19","true","3.99","true","true","https://cdn.shopify.com/s/files/1/0710/8932/4300/files/IMG-5419.jpg?v=1716579733","","","","1",""
"eBay UK","https://www.ebay.co.uk","788","1074","326796105372","v1|326796105372|515780120439","","Per4m EAA Xtra 420g","Blue Raspberry / 420g","Per4m","Amino Acids","ebay-326796105372-515780120439","https://www.ebay.co.uk/itm/326796105372?var=515780120439","https://www.ebay.co.uk/itm/326796105372?var=515780120439&mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","5060660086122","{""Size"":""420g"",""Flavour"":""Blue Raspberry""}","25.99","true","0","true","true","https://i.ebayimg.com/images/g/k50AAeSw3y1o29e-/s-l1600.jpg","420g","g","Blue Raspberry","1","powder"
