retailer_name,retailer_website,product_id,product_variant_id,external_product_id,external_variant_id,external_sku,product_name,variant_name,brand,category,slug,external_url,affiliate_url,external_gtin,external_options,price,shipping_known,shipping_cost,in_stock,is_for_sale,image,size,size_unit,flavour,pack_count,product_format
"eBay UK","https://www.ebay.co.uk","71","1008","394018039646","v1|394018039646|662564730390","","BioTech USA Vegan Protein 500g","Chocolate-Cinnamon / 500g","BioTech USA","Whey Protein","ebay-394018039646-662564730390","https://www.ebay.co.uk/itm/394018039646?var=662564730390","https://www.ebay.co.uk/itm/394018039646?var=662564730390&mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","5999076228362","{""Size"":""500g"",""Flavour"":""Chocolate-Cinnamon""}","19.99","true","0","true","true","https://files.ekmcdn.com/2ab763/images/biotech-usa-vegan-protein-500g-312-dv-p.jpg","500g","g","Chocolate-Cinnamon","1","powder"
"eBay UK","https://www.ebay.co.uk","27","1586","373707858011","v1|373707858011|642746534512","","Cellucor C4 Original 195g","Green Apple / 195g","Cellucor","Pre Workout","ebay-373707858011-642746534512","https://www.ebay.co.uk/itm/373707858011?var=642746534512","https://www.ebay.co.uk/itm/373707858011?var=642746534512&mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","842595109191","{""Size"":""195g"",""Flavour"":""Green Apple""}","19.99","true","0","true","true","https://files.ekmcdn.com/2ab763/images/cellucor-c4-original-195g-105-p.jpg","195g","g","Green Apple","1","powder"
"eBay UK","https://www.ebay.co.uk","489","1792","204481126203","v1|204481126203|505073669739","","Mutant Madness Pre Workout 225g","Roadside Lemonade / 225g","Mutant","Pre Workout","ebay-204481126203-505073669739","https://www.ebay.co.uk/itm/204481126203?var=505073669739","https://www.ebay.co.uk/itm/204481126203?var=505073669739&mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","627933026183","{""Size"":""225g"",""Flavour"":""Roadside Lemonade""}","19.95","true","0","true","true","https://files.ekmcdn.com/2ab763/images/mutant-madness-pre-workout-225g-3789-p.jpg","225g","g","Roadside Lemonade","1","powder"
"eBay UK","https://www.ebay.co.uk","528","1847","145921318153","v1|145921318153|444963406167","","Nutrend Pump Pre-Workout","Rainbow / 225g","Nutrend","Pre Workout","ebay-145921318153-444963406167","https://www.ebay.co.uk/itm/145921318153?var=444963406167","https://www.ebay.co.uk/itm/145921318153?var=444963406167&mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5339189922&customid=&toolid=10050","8594073170477","{""Size"":""225g"",""Flavour"":""Rainbow""}","18.10","true","0","true","true","https://files.ekmcdn.com/2ab763/images/nutrend-pump-pre-workout-4162-p.avif","225g","g","Rainbow","1","powder"
